time,y1,y2,y3
0,1,0,0
0.01,0.9996002840968035,0.000036450405248016485,0.00036326549794852376
0.02,0.9992025707689727,0.00003637699597867682,0.0007610522350486478
0.03,0.9988064547620648,0.00003630399995811248,0.0011572412379771326
0.04,0.9984119239107779,0.00003623141360835508,0.001551844675613713
0.05,0.9980189661813977,0.000036159233371650344,0.001944874585230612
0.06,0.997627608731975,0.00003608746288904585,0.0023363038051359745
0.07,0.9972377226005645,0.000036016077211041883,0.0027262613222244223
0.08,0.9968494133234014,0.000035945094374539896,0.0031146415822240815
0.09,0.9964626303132381,0.000035874503824752,0.00350149518293713
0.1,0.9960773621676141,0.00003580430220340553,0.0038868335301824835
0.11,0.9956935976051906,0.00003573448619044434,0.00427066790861895
0.12,0.9953113254641023,0.00003566505250348973,0.004653009483394229
0.13,0.994930534700338,0.00003559599789731047,0.0050338693017647025
0.14,0.9945512143861542,0.000035527319163303534,0.00541325829468246
0.15,0.9941733914219597,0.00003545901994105685,0.005791149558099237
0.16,0.9937969419675226,0.000035391076657470946,0.0061676669558199775
0.17,0.9934219685749507,0.00003532350664701269,0.0065427079184023
0.18,0.9930484603362301,0.00003525630673307661,0.006916283357036858
0.19,0.992676295031431,0.0000351894537749027,0.007288515514794142
0.2,0.9923055742489463,0.00003512296488098302,0.007659302786172741
0.21,0.9919362874118004,0.0000350568369784759,0.008028655751221124
0.22,0.9915683138795229,0.000034991047346577035,0.008396695073130489
0.23,0.9912017542918654,0.00003492561287177729,0.008763320095262811
0.24,0.9908365983900411,0.000034860530580809196,0.009128541079378067
0.25,0.9904727270736656,0.0000347957781609123,0.00949247714817346
0.26,0.9901102400486779,0.0000347313722804846,0.009855028579041646
0.27,0.9897490913139435,0.00003466730367175134,0.010216241382384741
0.28,0.9893892714160428,0.000034603569588808364,0.010576125014368366
0.29,0.9890307709968132,0.00003454016731552406,0.01093468883587123
0.3,0.9886735807921173,0.000034477094165140246,0.011291942113717547
0.31,0.9883176916306304,0.00003441434747987691,0.011647894021889689
0.32,0.9879630944326574,0.000034351924630547065,0.012002553642712056
0.33,0.9876097802089501,0.00003428982301617323,0.012355929968033755
0.34,0.9872577400595623,0.00003422804006361479,0.012708031900374036
0.35000000000000003,0.9869069651727007,0.00003416657322719626,0.013058868254072091
0.36,0.9865574468236071,0.000034105419988343155,0.013408447756404525
0.37,0.9862091763734785,0.00003404457785522991,0.01375677904866628
0.38,0.9858621452683552,0.00003398404436242212,0.014103870687282328
0.39,0.985516345038063,0.00003392381707053184,0.01444973114486651
0.4,0.9851717672951639,0.00003386389356587714,0.014794368811270253
0.41000000000000003,0.9848284037339028,0.00003380427146014344,0.015137791994637067
0.42,0.9844862461292184,0.00003374494839005811,0.015480008922391519
0.43,0.9841452863357014,0.00003368592201705848,0.015821027742281522
0.44,0.9838055162866371,0.00003362719002697747,0.016160856523335872
0.45,0.9834669279930048,0.00003356875012972288,0.01649950325686544
0.46,0.9831295135425435,0.000033510600058972166,0.016836975857397508
0.47000000000000003,0.9827932650987766,0.00003345273757186063,0.017173282163651514
0.48,0.9824581749001089,0.000033395160448685684,0.017508429939442422
0.49,0.9821242352588883,0.000033337866492606,0.01784242687461914
0.5,0.9817914385605006,0.000033280853529350476,0.018175280585970097
0.51,0.9814597772624923,0.00003322411940693124,0.01850699861810073
0.52,0.9811292438936798,0.000033167661995360076,0.018837588444324805
0.53,0.9807998310533118,0.00003311147918637177,0.019167057467501816
0.54,0.9804715314101644,0.00003305556889314258,0.01949541302094245
0.55,0.980144337701771,0.000032999929050029244,0.019822662369178963
0.56,0.9798182427335232,0.00003294455761229247,0.02014881270886446
0.5700000000000001,0.9794932393779083,0.00003288945255584021,0.020473871169535827
0.58,0.9791693529115738,0.00003283461734788436,0.020797812471078307
0.59,0.9788465115555663,0.000032780039036878074,0.021120708405396777
0.6,0.9785247408248197,0.000032725721156383195,0.021442533454023957
0.61,0.9782040338522051,0.00003267166176234093,0.021763294486032547
0.62,0.9778843519213981,0.00003261785356256519,0.022083030225039324
0.63,0.9775657522203022,0.00003256430541194164,0.022401683474285883
0.64,0.9772481960513545,0.00003251101003078946,0.02271929293861472
0.65,0.9769316767956984,0.0000324579655511846,0.02303586523875045
0.66,0.9766161878947249,0.000032405170123655396,0.023351406935151416
0.67,0.9763017228493702,0.000032352621916953786,0.02366592452871282
0.68,0.9759882752194233,0.000032300319117833604,0.023979424461458836
0.6900000000000001,0.9756758386228473,0.00003224825993083138,0.02429191311722182
0.7000000000000001,0.9753644067350785,0.00003219644257804686,0.02460339682234344
0.71,0.9750540042820202,0.00003214487044471533,0.024913850847535127
0.72,0.974744562965932,0.00003209353147211818,0.025223343502595846
0.73,0.9744361077239262,0.000032042429103484125,0.025531849846970323
0.74,0.974128601756118,0.0000319915565540121,0.025839406687327947
0.75,0.9738221005101301,0.00003194092230383797,0.02614595856756609
0.76,0.9735165671962691,0.00003189051957761566,0.026451542284153272
0.77,0.9732119958742786,0.00003184034671459566,0.026756163779006758
0.78,0.9729083806563219,0.00003179040206997044,0.027059828941608126
0.79,0.9726057157063703,0.00003174068401468193,0.027362543609614987
0.8,0.9723039952396398,0.000031691190935237116,0.027664313569424923
0.81,0.9720032135219954,0.00003164192123352165,0.02796514455677111
0.8200000000000001,0.9717033648693905,0.000031592873326618676,0.028265042257282918
0.8300000000000001,0.9714044436473,0.00003154404564662878,0.028564012307053317
0.84,0.9711064740241924,0.000031495441490511164,0.028862030534317122
0.85,0.9708093908634902,0.00003144704959819501,0.029159162086911643
0.86,0.9705131889499965,0.00003139886851069201,0.02945541218149281
0.87,0.9702179220757828,0.00003135090635355242,0.02975072701786361
0.88,0.9699235551830535,0.000031303156802971915,0.030045141660143517
0.89,0.9696300829230085,0.00003125561837752349,0.030338661458614025
0.9,0.9693374999926104,0.0000312082896096046,0.030631291717779965
0.91,0.9690458011341258,0.00003116116904528422,0.030923037696828966
0.92,0.9687549811345832,0.00003111425524413803,0.031213904610172614
0.93,0.9684650348253266,0.00003106754677909878,0.03150389762789426
0.9400000000000001,0.9681759570814908,0.00003102104223629702,0.03179302187627286
0.9500000000000001,0.9678877428215323,0.00003097474021490957,0.032081282438252756
0.96,0.9676004156996117,0.000030928643927093815,0.03236865565646116
0.97,0.9673139132486834,0.00003088274277761123,0.032655204008538954
0.98,0.9670282307696747,0.00003083703546361546,0.03294093219486168
0.99,0.9667434204800778,0.000030791529775435594,0.03322578799014679
1,0.9664594489003046,0.000030746219795111975,0.03350980487990034
1.01,0.9661763111990973,0.00003070110419703767,0.033792987696705655
1.02,0.9658940025853356,0.00003065618166764499,0.034075341232996714
1.03,0.9656125183076273,0.00003061145090527268,0.03435687024146744
1.04,0.9653318536538698,0.00003056691062002996,0.03463757943551022
1.05,0.9650520039508513,0.00003052255953366632,0.034917473489615
1.06,0.9647729645638029,0.000030478396379437823,0.03519655703981766
1.07,0.9644947308960208,0.000030434419901979165,0.03547483468407724
1.08,0.9642172983884628,0.00003039062885717964,0.03575231098268
1.09,0.9639406625193252,0.00003034702201205268,0.03602899045866275
1.1,0.9636647912587609,0.000030303593811337325,0.03630490514742774
1.11,0.9633897353266627,0.000030260351728600562,0.036580004321608676
1.12,0.9631154626867588,0.000030217290211985667,0.036854320023029165
1.1300000000000001,0.9628419689623922,0.000030174408071791716,0.03712785662953605
1.1400000000000001,0.9625692498122342,0.000030131704128839274,0.03740061848363692
1.1500000000000001,0.9622973009299315,0.000030089177214357087,0.037672609892854154
1.16,0.9620261180437442,0.000030046826169868076,0.03794383513008597
1.17,0.9617556969161682,0.000030004649847073718,0.03821429843398468
1.18,0.9614860333436059,0.00002996264710774599,0.03848400400928632
1.19,0.9612171231559821,0.000029920816823612964,0.03875295602719432
1.2,0.960948935437666,0.000029879153718890857,0.03902118540861509
1.21,0.9606815197164985,0.000029837665016600353,0.03928864261848489
1.22,0.9604148450674937,0.000029796345443259088,0.039555358587062994
1.23,0.9601489074513552,0.000029755193909363154,0.03982133735473547
